"final_taxonomy","MC_A4","MC_B4","MC_C4","MC_D4","MC_E4","MC_F3","MC_F4","MC_G3","MC_H3","NTC_MF4","Plate3_A5","Plate3_B5","Plate3_C5","Plate3_D3","Plate3_D5","Plate3_E3","Plate3_E5","Plate3_F5","Plate3_G12","Plate3_G4","Plate3_G5","Plate3_H12","Plate3_H4","PosCtrl_1","PosCtrl_Kangaroo_MF4","PvCF_D1_01_TR1","PvCF_D1_01_TR2","PvCF_D1_01_TR3","PvCF_D1_02_TR1","PvCF_D1_02_TR2","PvCF_D1_02_TR3","PvCF_D1_03_TR1","PvCF_D1_04_TR1","PvCF_D1_05_TR1","PvCF_D1_05_TR2","PvCF_D1_05_TR3","PvCF_D1_06_TR1","PvCF_D1_06_TR2","PvCF_D1_06_TR3","PvCF_D1_07_TR1","PvCF_D1_07_TR2","PvCF_D1_07_TR3","PvCF_D1_08_TR1","PvCF_D1_08_TR2","PvCF_D1_08_TR3","PvCF_D1_09_TR1","PvCF_D1_09_TR2","PvCF_D1_09_TR3","PvCF_D1_10_TR1","PvCF_D1_11_TR1","PvCF_D1_11_TR2","PvCF_D1_11_TR3","PvCF_D1_12_TR1","PvCF_D1_13_TR1","PvCF_D1_13_TR2","PvCF_D1_13_TR3","PvCF_D1_14_TR1","PvCF_D1_15_TR1","PvCF_D2_01_TR1","PvCF_D2_01_TR2","PvCF_D2_01_TR3","PvCF_D2_02_TR1","PvCF_D2_02_TR2","PvCF_D2_02_TR3","PvCF_D2_03_TR1","PvCF_D2_03_TR2","PvCF_D2_03_TR3","PvCF_D2_04_TR1","PvCF_D2_04_TR2","PvCF_D2_04_TR3","PvCF_D2_05_TR1","PvCF_D2_05_TR2","PvCF_D2_05_TR3","PvCF_D2_06_TR1","PvCF_D2_06_TR2","PvCF_D2_06_TR3","PvCF_D2_07_TR1","PvCF_D2_07_TR2","PvCF_D2_07_TR3","PvCF_D2_08_TR1","PvCF_D2_08_TR2","PvCF_D2_08_TR3","PvCF_D2_09_TR1","PvCF_D2_09_TR2","PvCF_D2_09_TR3","PvCF_D2_10_TR1","PvCF_D2_10_TR2","PvCF_D2_10_TR3","PvCF_D2_11_TR1","PvCF_D3_01_TR1","PvCF_D3_01_TR2","PvCF_D3_01_TR3","PvCF_D3_02_TR1","PvCF_D3_03_TR1","PvCF_D3_03_TR2","PvCF_D3_03_TR3","PvCF_D3_04_TR1","PvCF_D3_05_TR1","PvCF_D3_05_TR2","PvCF_D3_05_TR3","PvCF_D3_06_TR1","PvCF_D3_07_TR1","PvCF_D3_07_TR2","PvCF_D3_07_TR3","PvCF_D3_08_TR1","PvCF_D3_08_TR2","PvCF_D3_08_TR3","PvCF_D3_09_TR1","PvCF_D3_09_TR2","PvCF_D3_09_TR3","PvCF_D3_10_TR1","PvCF_D3_10_TR2","PvCF_D3_10_TR3","PvCF_D3_11_TR1","PvCF_D3_13_TR1","PvCF_D3_14_TR1","PvCF_D3_14_TR2","PvCF_D3_14_TR3","PvCF_D3_15_TR1","PvCF_D3_15_TR2","PvCF_D3_15_TR3","PvCF_D4_01_TR1","PvCF_D4_01_TR2","PvCF_D4_01_TR3","PvCF_D4_02_TR1","PvCF_D4_03_TR1","PvCF_D4_03_TR2","PvCF_D4_03_TR3","PvCF_D4_04_TR1","PvCF_D4_04_TR2","PvCF_D4_04_TR3","PvCF_D4_05_TR1","PvCF_D4_05_TR2","PvCF_D4_05_TR3","PvCF_D4_06_TR1","PvCF_D4_07_TR1","PvCF_D4_07_TR2","PvCF_D4_07_TR3","PvCF_D4_08_TR1","PvCF_D4_08_TR2","PvCF_D4_08_TR3","PvCF_D4_09_TR1","PvCF_D4_09_TR2","PvCF_D4_09_TR3","PvCF_D4_10_TR1","PvCF_D4_10_TR2","PvCF_D4_10_TR3","PvCF_D4_11_TR1","PvCF_D4_12_TR1","PvCF_D4_12_TR2","PvCF_D4_12_TR3","PvCF_D4_13_TR1","PvCF_D5_01_TR1","PvCF_D5_01_TR2","PvCF_D5_01_TR3","PvCF_D5_02_TR1","PvCF_D5_02_TR2","PvCF_D5_02_TR3","PvCF_D5_03_TR1","PvCF_D5_04_TR1","PvCF_D5_04_TR2","PvCF_D5_04_TR3","PvCF_D5_05_TR1","PvCF_D5_05_TR2","PvCF_D5_05_TR3","PvCF_D5_06_TR1","PvCF_D5_07_TR1","PvCF_D5_07_TR2","PvCF_D5_07_TR3","PvCF_D5_08_TR1","PvCF_D5_08_TR2","PvCF_D5_08_TR3","PvCF_D5_09_TR1","PvCF_D5_09_TR2","PvCF_D5_09_TR3","PvCF_D5_10_TR1","PvCF_D5_11_TR1","PvCF_D5_11_TR2","PvCF_D5_11_TR3","PvCF_D5_12_TR1","PvCF_D5_12_TR2","PvCF_D5_12_TR3","PvCF_D5_13_TR1","PvCF_D5_14_TR1","PvCF_D5_14_TR2","PvCF_D5_14_TR3","PvCF_D5_15_TR1","PvCF_D5_16_TR1","PvCF_D6_01_TR1","PvCF_D6_02_TR1","PvCF_D6_02_TR2","PvCF_D6_02_TR3","PvCF_D6_03_TR1","PvCF_D6_03_TR2","PvCF_D6_03_TR3","PvCF_D6_04_TR1","PvCF_D6_05_TR1","PvCF_D6_05_TR2","PvCF_D6_05_TR3","PvCF_D6_06_TR1","PvCF_D6_06_TR2","PvCF_D6_06_TR3","PvCF_D6_07_TR1","PvCF_D6_07_TR2","PvCF_D6_07_TR3","PvCF_D6_08_TR1","PvCF_D6_08_TR2","PvCF_D6_08_TR3","PvCF_D6_09_TR1","PvCF_D6_10_TR1","PvCF_D6_10_TR2","PvCF_D6_10_TR3","PvCF_D6_11_TR1","PvCF_D6_11_TR2","PvCF_D6_11_TR3","PvCF_D6_12_TR1","PvCF_D6_12_TR2","PvCF_D6_12_TR3","PvCF_D6_13_TR1","PvCF_D6_14_TR1","PvCF_D6_14_TR2","PvCF_D6_14_TR3","PvCF_D6_15_TR1","PvCF_D6_16_TR1","PvCF_D6_17_TR1","PvCF_D6_A3","PvCF_D6_B3","PvCF_D6_C3","PvCF_D6_H2","TM_01_AtlSal","TM_01_BlkEelpt","TM_01_COSol","TM_01_Capel_VAQ","TM_01_ChinSal","TM_01_ChumSal","TM_01_ChumSal_VAQ","TM_01_CohoSal","TM_01_Coho_VAQ","TM_01_CresGun","TM_01_DovSol","TM_01_EngSol","TM_01_GrtSculp","TM_01_Hake","TM_01_LfinSmel","TM_01_Lingcod","TM_01_NorRonq","TM_01_PPerch","TM_01_PacTom","TM_01_PlfinMid","TM_01_PnkSal","TM_01_Pompano","TM_01_PstahSculp","TM_01_QuilRockF","TM_01_SaddleGun","TM_01_SnakPrick","TM_01_SockSal","TM_01_StarFloun","TM_01_SteelHd","TM_01_SturPoach","TM_01_SurfSmel","TM_01_TpoolSculp","TM_02_BlkEelpt","TM_02_COSol","TM_02_Capel_VAQ","TM_02_ChinSal","TM_02_ChumSal","TM_02_ChumSal_VAQ","TM_02_CohoSal","TM_02_Coho_VAQ","TM_02_CresGun","TM_02_DovSol","TM_02_EngSol","TM_02_GrtSculp","TM_02_Hake","TM_02_LfinSmel","TM_02_Lingcod","TM_02_NorRonq","TM_02_PPerch","TM_02_PacTom","TM_02_PlfinMid","TM_02_PnkSal","TM_02_Pompano","TM_02_PstahSculp","TM_02_QuilRockF","TM_02_SaddleGun","TM_02_SnakPrick","TM_02_SockSal","TM_02_StarFloun","TM_02_SteelHd","TM_02_SturPoach","TM_02_SurfSmel","TM_02_TpoolSculp","TM_03_BlkEelpt","TM_03_COSol","TM_03_Capel_VAQ","TM_03_ChinSal","TM_03_ChumSal","TM_03_CohoSal","TM_03_Coho_VAQ","TM_03_DovSol","TM_03_EngSol","TM_03_GrtSculp","TM_03_Hake","TM_03_LfinSmel","TM_03_Lingcod","TM_03_PPerch","TM_03_PlfinMid","TM_03_PnkSal","TM_03_Pompano","TM_03_PstahSculp","TM_03_QuilRockF","TM_03_SlendSol","TM_03_SnakPrick","TM_03_SockSal","TM_03_StarFloun","TM_03_SteelHd","TM_03_SturPoach","TM_03_SurfSmel","TM_03_TpoolSculp","TM_A10","TM_A11","TM_A12","TM_A6","TM_A7","TM_A8","TM_A9","TM_B10","TM_B11","TM_B12","TM_B6","TM_B7","TM_B8","TM_C10","TM_C11","TM_C12","TM_C6","TM_C7","TM_C8","TM_C9","TM_D10","TM_D11","TM_D12","TM_D6","TM_D7","TM_D9","TM_E10","TM_E11","TM_E12","TM_E6","TM_E7","TM_E8","TM_E9","TM_F10","TM_F11","TM_F12","TM_F6","TM_F7","TM_F8","TM_F9","TM_G10","TM_G11","TM_G6","TM_G7","TM_G8","TM_G9","TM_H10","TM_H11","TM_H5","TM_H6","TM_H7","TM_H8","TM_H9"
"Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus",948,216,344,0,0,0,0,0,273,0,0,0,0,0,0,0,0,108183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3687,1370,1055,76,278,247,0,0,4986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27299,8,0,0,0,0,19858,0,0,0,0,0,0
"Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus;Gadus chalcogrammus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,2760,8272,862,305,170,124,0,0,0,0,0,2931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus;Gadus macrocephalus",18007,4994,7745,0,0,1510,0,1106,4726,0,0,0,0,0,0,0,0,0,0,0,12837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;Microgadus;Microgadus proximus",0,0,0,1769,86,91,1980,59,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,44762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,47419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;Micromesistius;Micromesistius poutassou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius;Merluccius productus",398,134,174,259,16,16,253,5,61,0,0,0,0,483,0,2797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,443,0,0,0,0,0,16,0,0,0,0,0,3730,306,245,0,0,0,0,0,0,0,0,0,18,0,148,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,4640,9805,8378,4603,1967,20,5151,1725,4858,701,163,1635,307,3756,3239,873,552,816,560,2768,487,5642,117,627,1311,145,908,590,1535,4872,755,1128,1986,321,1139,1005,1614,1891,940,6480,11978,11523,242,2768,2506,1964,4295,2307,1889,1760,443,5080,4463,4776,299,5349,1214,2005,841,997,216,533,880,469,177,1615,703,1001,1109,830,221,517,490,1290,574,421,0,0,0,0,0,0,0,0,0,0,0,0,0,66839,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134411,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Clevelandia;Clevelandia ios",0,0,0,0,0,1497,0,1175,4470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lepidogobius;Lepidogobius lepidus",0,0,0,0,0,1392,0,986,3391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus theta",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Chordata;Actinopteri;Ophidiiformes;Bythitidae;Brosmophycis;Brosmophycis marginata",13,0,0,4030,253,1345,4896,1104,3862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Chordata;Actinopteri;Osmeriformes;Osmeridae",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,368,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota;Chordata;Actinopteri;Osmeriformes;Osmeridae;Hypomesus;Hypomesus pretiosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
