"SampleID","samplename","model_out_name","time","creek","station","station_num","biol","tech","diet_sp","P18S_taxon_assign","Species","expected_prop","has_multiple_seals","seal_1","seal_2","seal_1_actual_mass","seal_2_actual_mass","seal_1_total_mass","seal_2_total_mass","seal_1_actual_prop","seal_2_actual_prop"
"PvCF_D1_02","PvCF_D1_02_TR3","1_PvCF_1_2",1,"PvCF","D1",1,2,3,"herring","Actinopteri","Clupea pallasii",0.6,TRUE,"DaVinci","Donnelly",1.92,3.3,3.21,5.49,0.598130841121495,0.601092896174863
"PvCF_D1_02","PvCF_D1_02_TR1","1_PvCF_1_2",1,"PvCF","D1",1,2,1,"prawn","Penaeus monodon","Penaeus monodon",0,TRUE,"DaVinci","Donnelly",0,0,3.21,5.49,0,0
"PvCF_D1_02","PvCF_D1_02_TR2","1_PvCF_1_2",1,"PvCF","D1",1,2,2,"prawn","Penaeus monodon","Penaeus monodon",0,TRUE,"DaVinci","Donnelly",0,0,3.21,5.49,0,0
"PvCF_D1_02","PvCF_D1_02_TR3","1_PvCF_1_2",1,"PvCF","D1",1,2,3,"prawn","Penaeus monodon","Penaeus monodon",0,TRUE,"DaVinci","Donnelly",0,0,3.21,5.49,0,0
"PvCF_D1_02","PvCF_D1_02_TR1","1_PvCF_1_2",1,"PvCF","D1",1,2,1,"salmon_1","Actinopteri","Oncorhynchus kisutch",0.1,TRUE,"DaVinci","Donnelly",0.33,0.54,3.21,5.49,0.102803738317757,0.0983606557377049
"PvCF_D1_02","PvCF_D1_02_TR2","1_PvCF_1_2",1,"PvCF","D1",1,2,2,"salmon_1","Actinopteri","Oncorhynchus kisutch",0.1,TRUE,"DaVinci","Donnelly",0.33,0.54,3.21,5.49,0.102803738317757,0.0983606557377049
"PvCF_D1_02","PvCF_D1_02_TR3","1_PvCF_1_2",1,"PvCF","D1",1,2,3,"salmon_1","Actinopteri","Oncorhynchus kisutch",0.1,TRUE,"DaVinci","Donnelly",0.33,0.54,3.21,5.49,0.102803738317757,0.0983606557377049
"PvCF_D1_02","PvCF_D1_02_TR1","1_PvCF_1_2",1,"PvCF","D1",1,2,1,"squid","Cephalopoda","Doryteuthis opalescens",0.1,TRUE,"DaVinci","Donnelly",0.33,0.54,3.21,5.49,0.102803738317757,0.0983606557377049
"PvCF_D1_02","PvCF_D1_02_TR2","1_PvCF_1_2",1,"PvCF","D1",1,2,2,"squid","Cephalopoda","Doryteuthis opalescens",0.1,TRUE,"DaVinci","Donnelly",0.33,0.54,3.21,5.49,0.102803738317757,0.0983606557377049
"PvCF_D1_02","PvCF_D1_02_TR3","1_PvCF_1_2",1,"PvCF","D1",1,2,3,"squid","Cephalopoda","Doryteuthis opalescens",0.1,TRUE,"DaVinci","Donnelly",0.33,0.54,3.21,5.49,0.102803738317757,0.0983606557377049
"PvCF_D1_03","PvCF_D1_03_TR1","1_PvCF_1_3",1,"PvCF","D1",1,3,1,"capelin","Actinopteri","Mallotus villosus",0.2,TRUE,"DaVinci","Donnelly",0.63,0,3.21,0,0.196261682242991,NA
"PvCF_D1_03","PvCF_D1_03_TR1","1_PvCF_1_3",1,"PvCF","D1",1,3,1,"hake","Actinopteri","Merluccius productus",0,TRUE,"DaVinci","Donnelly",0,0,3.21,0,0,NA
"PvCF_D1_03","PvCF_D1_03_TR1","1_PvCF_1_3",1,"PvCF","D1",1,3,1,"herring","Actinopteri","Clupea pallasii",0.6,TRUE,"DaVinci","Donnelly",1.92,0,3.21,0,0.598130841121495,NA
